#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP,Genes,Host,Modify Date,RefSeq category,tRNA
"Bacillus cereus ATCC 14579","Bacteria;Terrabacteria group;Firmicutes","ATCC 14579","SAMN02603340","PRJNA384","GCA_000007825.1","Complete",5.42708,35.3076,"chromosome:NC_004722.1/AE016877.1; plasmid pBClin15:NC_004721.2/AE016878.2",,2,5231,"2003-04-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/825/GCA_000007825.1_ASM782v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/825/GCF_000007825.1_ASM782v1",5494,"human","2016-08-28T00:00:00Z","reference",108
"Bacillus anthracis str. Ames","Bacteria;Terrabacteria group;Firmicutes","Ames","SAMN02603432","PRJNA309","GCA_000007845.1","Complete",5.22729,35.4,"chromosome:NC_003997.3/AE016879.1",,1,5321,"2002-05-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/845/GCA_000007845.1_ASM784v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/845/GCF_000007845.1_ASM784v1",5632,"human","2017-10-06T00:00:00Z","reference",95
"Mycobacterium avium subsp. paratuberculosis K-10","Bacteria;Terrabacteria group;Actinobacteria","K-10","SAMN02604086","PRJNA91","GCA_000007865.1","Complete",4.82978,69.3,"chromosome:NC_002944.2/AE016958.1",,1,4311,"2001-12-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/865/GCA_000007865.1_ASM786v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/865/GCF_000007865.1_ASM786v1",4562,"human","2017-05-19T00:00:00Z","representative",46
"Helicobacter hepaticus ATCC 51449","Bacteria;Proteobacteria;delta/epsilon subdivisions","ATCC 51449","SAMN02604097","PRJNA185","GCA_000007905.1","Complete",1.79915,35.9,"chromosome:NC_004917.1/AE017125.1",,1,1744,"2003-06-26T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/905/GCA_000007905.1_ASM790v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/905/GCF_000007905.1_ASM790v1",1819,"human","2017-04-17T00:00:00Z","representative",36
"[Haemophilus] ducreyi 35000HP","Bacteria;Proteobacteria;Gammaproteobacteria","35000HP","SAMN02604087","PRJNA38","GCA_000007945.1","Complete",1.69895,38.2,"chromosome:NC_002940.2/AE017143.1",,1,1504,"2001-10-24T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/007/945/GCA_000007945.1_ASM794v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/945/GCF_000007945.1_ASM794v1",1678,"human","2018-08-21T00:00:00Z","representative",48
"Rickettsia typhi str. Wilmington","Bacteria;Proteobacteria;Alphaproteobacteria","Wilmington","SAMN02603327","PRJNA10679","GCA_000008045.1","Complete",1.1115,28.9,"chromosome:NC_006142.1/AE017197.1",,1,825,"2004-08-19T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/045/GCA_000008045.1_ASM804v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/045/GCF_000008045.1_ASM804v1",881,"human","2017-04-06T00:00:00Z","representative",33
"Treponema denticola ATCC 35405","Bacteria;Spirochaetes;Spirochaetia","ATCC 35405","SAMN02603967","PRJNA4","GCA_000008185.1","Complete",2.8432,37.9,"chromosome:NC_002967.9/AE017226.1",,1,2767,"2002-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/185/GCA_000008185.1_ASM818v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/185/GCF_000008185.1_ASM818v1",2838,"human","2016-08-28T00:00:00Z","reference",44
"Cutibacterium acnes KPA171202","Bacteria;Terrabacteria group;Actinobacteria","KPA171202","SAMN02603281","PRJNA12460","GCA_000008345.1","Complete",2.56026,60,"chromosome:NC_006085.1/AE017283.1",,1,2416,"2004-07-30T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/345/GCA_000008345.1_ASM834v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/345/GCF_000008345.1_ASM834v1",2565,"human","2017-03-29T00:00:00Z","representative",45
"Legionella pneumophila subsp. pneumophila str. Philadelphia 1","Bacteria;Proteobacteria;Gammaproteobacteria","Philadelphia 1","SAMN02603156","PRJNA22","GCA_000008485.1","Complete",3.39775,38.3,"chromosome:NC_002942.5/AE017354.1",,1,2943,"2001-10-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/485/GCA_000008485.1_ASM848v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/485/GCF_000008485.1_ASM848v1",3003,"human","2017-01-11T00:00:00Z","reference",43
"Helicobacter pylori 26695","Bacteria;Proteobacteria;delta/epsilon subdivisions","26695","SAMN02603995","PRJNA233","GCA_000008525.1","Complete",1.66787,38.9,"chromosome:NC_000915.1/AE000511.1",,1,1445,"1997-08-06T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/525/GCA_000008525.1_ASM852v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/525/GCF_000008525.1_ASM852v1",1555,"human","2016-08-02T00:00:00Z","reference",36
"Chlamydia trachomatis D/UW-3/CX","Bacteria;PVC group;Chlamydiae","D/UW-3/CX","SAMN02603114","PRJNA45","GCA_000008725.1","Complete",1.04252,41.3,"chromosome:NC_000117.1/AE001273.1",,1,887,"1998-05-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/725/GCA_000008725.1_ASM872v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/725/GCF_000008725.1_ASM872v1",935,"human","2016-08-03T00:00:00Z","reference",37
"Chlamydia pneumoniae CWL029","Bacteria;PVC group;Chlamydiae","CWL029","SAMN02603115","PRJNA248","GCA_000008745.1","Complete",1.23023,40.6,"chromosome:NC_000922.1/AE001363.1",,1,1029,"1999-12-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/745/GCA_000008745.1_ASM874v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/745/GCF_000008745.1_ASM874v1",1091,"human","2016-08-03T00:00:00Z","reference",38
"Neisseria meningitidis MC58","Bacteria;Proteobacteria;Betaproteobacteria","MC58","SAMN02603997","PRJNA251","GCA_000008805.1","Complete",2.27236,51.5,"chromosome:NC_003112.2/AE002098.2",,1,1943,"2000-02-25T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/805/GCA_000008805.1_ASM880v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1",2104,"human","2016-08-03T00:00:00Z","reference",59
"Yersinia pestis CO92","Bacteria;Proteobacteria;Gammaproteobacteria","CO92","SAMEA1705942","PRJNA34","GCA_000009065.1","Complete",4.82986,47.6065,"chromosome:NC_003143.1/AL590842.1; plasmid pCD1:NC_003131.1/AL117189.1; plasmid pMT1:NC_003134.1/AL117211.1; plasmid pPCP1:NC_003132.1/AL109969.1",,4,3979,"2001-10-15T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/065/GCA_000009065.1_ASM906v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/065/GCF_000009065.1_ASM906v1",4230,"human","2016-08-01T00:00:00Z","reference",70
"Campylobacter jejuni subsp. jejuni NCTC 11168 = ATCC 700819","Bacteria;Proteobacteria;delta/epsilon subdivisions","NCTC 11168","SAMEA1705929","PRJNA8","GCA_000009085.1","Complete",1.64148,30.5,"chromosome:NC_002163.1/AL111168.1",,1,1572,"2001-09-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/085/GCA_000009085.1_ASM908v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/085/GCF_000009085.1_ASM908v1",1668,"human","2016-08-03T00:00:00Z","reference",43
"Francisella tularensis subsp. tularensis SCHU S4","Bacteria;Proteobacteria;Gammaproteobacteria","SCHU S4","SAMEA3138185","PRJNA9","GCA_000008985.1","Complete",1.89278,32.3,"chromosome:NC_006570.2/AJ749949.2",,1,1556,"2004-12-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/985/GCA_000008985.1_ASM898v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/985/GCF_000008985.1_ASM898v1",1834,"human","2016-08-03T00:00:00Z","reference",38
"Yersinia enterocolitica subsp. enterocolitica 8081","Bacteria;Proteobacteria;Gammaproteobacteria","8081","SAMEA1705958","PRJNA190","GCA_000009345.1","Complete",4.68362,47.2508,"chromosome:NC_008800.1/AM286415.1; plasmid pYVe8081:NC_008791.1/AM286416.1",,2,4023,"2006-12-20T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/345/GCA_000009345.1_ASM934v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/345/GCF_000009345.1_ASM934v1",4259,"human","2016-08-28T00:00:00Z","reference",82
"Bacteroides fragilis YCH46","Bacteria;FCB group;Bacteroidetes/Chlorobi group","YCH46","SAMD00061068","PRJNA13067","GCA_000009925.1","Complete",5.31099,43.2378,"chromosome:NC_006347.1/AP006841.1; plasmid pBFY46:NC_006297.1/AP006842.1",,2,4625,"2004-09-16T23:37:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/925/GCA_000009925.1_ASM992v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/925/GCF_000009925.1_ASM992v1",4717,"human","2017-07-27T00:00:00Z","reference",74
"Chlamydia felis Fe/C-56","Bacteria;PVC group;Chlamydiae","Fe/C-56","SAMD00061108","PRJNA370","GCA_000009945.1","Complete",1.17379,39.3646,"chromosome:NC_007899.1/AP006861.1; plasmid pCfe1:NC_007900.1/AP006862.1",,2,974,"2006-03-09T23:09:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/945/GCA_000009945.1_ASM994v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/945/GCF_000009945.1_ASM994v1",1032,"human","2017-04-17T00:00:00Z","representative",38
"Staphylococcus haemolyticus JCSC1435","Bacteria;Terrabacteria group;Firmicutes","JCSC1435","SAMD00061066","PRJNA12508","GCA_000009865.1","Complete",2.69786,32.7885,"chromosome:NC_007168.1/AP006716.1; plasmid pSHaeA:NC_007169.1/AP006717.1; plasmid pSHaeB:NC_007170.1/AP006718.1; plasmid pSHaeC:NC_007171.1/AP006719.1",,4,2484,"2005-06-30T23:05:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/009/865/GCA_000009865.1_ASM986v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/865/GCF_000009865.1_ASM986v1",2648,"human","2017-03-22T00:00:00Z","representative",60
"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305","Bacteria;Terrabacteria group;Firmicutes","ATCC 15305","SAMD00061076","PRJNA15596","GCA_000010125.1","Complete",2.5779,33.1473,"chromosome:NC_007350.1/AP008934.1; plasmid pSSP1:NC_007351.1/AP008935.1; plasmid pSSP2:NC_007352.1/AP008936.1",,3,2351,"2005-08-11T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/125/GCA_000010125.1_ASM1012v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/125/GCF_000010125.1_ASM1012v1",2523,"human","2018-09-29T00:00:00Z","representative",58
"Finegoldia magna ATCC 29328","Bacteria;Terrabacteria group;Firmicutes","ATCC 29328","SAMD00060918","PRJDA18981","GCA_000010185.1","Complete",1.98674,32.0524,"chromosome:NC_010376.1/AP008971.1; plasmid pFMC:NC_010371.1/AP008972.1",,2,1820,"2008-02-14T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/185/GCA_000010185.1_ASM1018v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/185/GCF_000010185.1_ASM1018v1",1901,"human","2017-10-21T00:00:00Z","representative",47
"Porphyromonas gingivalis ATCC 33277","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 33277","SAMD00060922","PRJDA19051","GCA_000010505.1","Complete",2.35489,48.4,"chromosome:NC_010729.1/AP009380.1",,1,1955,"2008-05-20T23:06:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/010/505/GCA_000010505.1_ASM1050v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/010/505/GCF_000010505.1_ASM1050v1",2118,"human","2017-03-29T00:00:00Z","representative",53
"Mycoplasma penetrans HF-2","Bacteria;Terrabacteria group;Tenericutes","HF-2","SAMD00061084","PRJNA176","GCA_000011225.1","Complete",1.35863,25.7,"chromosome:NC_004432.1/BA000026.2",,1,1016,"2002-12-10T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/225/GCA_000011225.1_ASM1122v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/225/GCF_000011225.1_ASM1122v1",1068,"human","2017-04-17T00:00:00Z","representative",30
"Burkholderia pseudomallei K96243","Bacteria;Proteobacteria;Betaproteobacteria","K96243","SAMEA1705938","PRJNA178","GCA_000011545.1","Complete",7.24755,68.0502,"chromosome 1:NC_006350.1/BX571965.1; chromosome 2:NC_006351.1/BX571966.1",,2,5726,"2004-09-16T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/545/GCA_000011545.1_ASM1154v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/545/GCF_000011545.1_ASM1154v1",5935,"human","2016-08-03T00:00:00Z","reference",61
"Burkholderia mallei ATCC 23344","Bacteria;Proteobacteria;Betaproteobacteria","ATCC 23344","SAMN02603987","PRJNA171","GCA_000011705.1","Complete",5.83553,68.5188,"chromosome 1:NC_006348.1/CP000010.1; chromosome 2:NC_006349.2/CP000011.2",,2,5022,"2004-09-22T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/011/705/GCA_000011705.1_ASM1170v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/705/GCF_000011705.1_ASM1170v1",5506,"human","2016-08-03T00:00:00Z","reference",56
"Shigella dysenteriae Sd197","Bacteria;Proteobacteria;Gammaproteobacteria","Sd197","SAMN02603600","PRJNA13145","GCA_000012005.1","Complete",4.56091,50.921,"chromosome:NC_007606.1/CP000034.1; plasmid pSD197_spA:NC_009344.1/CP000640.1; plasmid pSD1_197:NC_007607.1/CP000035.1",,3,4294,"2005-11-09T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/005/GCA_000012005.1_ASM1200v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/005/GCF_000012005.1_ASM1200v1",4834,"human","2016-08-03T00:00:00Z","reference",85
"Rickettsia bellii RML369-C","Bacteria;Proteobacteria;Alphaproteobacteria","RML369-C","SAMN02603144","PRJNA13996","GCA_000012385.1","Complete",1.52208,31.6,"chromosome:NC_007940.1/CP000087.1",,1,1398,"2006-04-05T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/385/GCA_000012385.1_ASM1238v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/385/GCF_000012385.1_ASM1238v1",1537,"human","2017-04-06T00:00:00Z","representative",34
"Rickettsia felis URRWXCal2","Bacteria;Proteobacteria;Alphaproteobacteria","URRWXCal2; California 2","SAMN02603143","PRJNA13884","GCA_000012145.1","Complete",1.58724,32.5609,"chromosome:NC_007109.1/CP000053.1; plasmid pRF:NC_007110.1/CP000054.1; plasmid pRFdelta:NC_007111.1/CP000055.1",,3,1363,"2005-06-07T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/145/GCA_000012145.1_ASM1214v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/145/GCF_000012145.1_ASM1214v1",1704,"human","2017-04-06T00:00:00Z","representative",33
"Bacteroides vulgatus ATCC 8482","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 8482","SAMN02604309","PRJNA13378","GCA_000012825.1","Complete",5.16319,42.2,"chromosome:NC_009614.1/CP000139.1",,1,4077,"2007-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/825/GCA_000012825.1_ASM1282v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/825/GCF_000012825.1_ASM1282v1",4333,"human","2017-05-18T00:00:00Z","representative",83
"Parabacteroides distasonis ATCC 8503","Bacteria;FCB group;Bacteroidetes/Chlorobi group","ATCC 8503","SAMN02604310","PRJNA13485","GCA_000012845.1","Complete",4.81138,45.1,"chromosome:NC_009615.1/CP000140.1",,1,3880,"2007-06-27T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/012/845/GCA_000012845.1_ASM1284v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/845/GCF_000012845.1_ASM1284v1",4081,"human","2017-05-19T00:00:00Z","representative",82
"Anaplasma phagocytophilum str. HZ","Bacteria;Proteobacteria;Alphaproteobacteria","HZ","SAMN02604015","PRJNA336","GCA_000013125.1","Complete",1.47128,41.6,"chromosome:NC_007797.1/CP000235.1",,1,1066,"2006-02-21T00:00:00Z","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/013/125/GCA_000013125.1_ASM1312v1","ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/125/GCF_000013125.1_ASM1312v1",1178,"human","2017-03-29T00:00:00Z","representative",37
